bigram,count
working with,1112
has been,1081
highly recommend,965
he is,954
have been,944
we have,781
he has,737
in the,682
of the,656
financial advisor,645
our financial,632
my financial,628
financial planning,588
and his,568
we are,542
work with,538
time to,536
to work,500
with the,499
and have,484
the time,479
and the,461
to help,449
of our,447
of my,432
for the,426
to be,418
the best,417
my wife,396
they are,392
looking for,373
to our,357
his team,355
to anyone,355
goals and,355
is very,347
with him,328
to have,326
easy to,324
been working,322
