,missing_frac,missing_count
_custom_disclosure,0.9134897360703812,4361
_custom_compensation,0.010473397570171765,50
_custom_conflicts,0.010473397570171765,50
_custom_relationship,0.010263929618768328,49
reviewer_name,0.010054461667364893,48
rating,0.010054461667364893,48
acf_rating,0.010054461667364893,48
Content,0.00020946795140343527,1
notification_name,0.00020946795140343527,1
notification_page,0.00020946795140343527,1
advisor_name,0.00020946795140343527,1
advisor_id,0.00020946795140343527,1
review_text_raw,0.0,0
ID,0.0,0
Post Modified Date,0.0,0
Status,0.0,0
Title,0.0,0
_custom_form,0.0,0
Date,0.0,0
review_date,0.0,0
